#SampleID	Sample	Event	Sport	Age	Date	City	State	Run	Type
SH.AQ032	AQ032	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LT001	LT001	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.FY020	FY020	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS093	LS093	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AQ031	AQ031	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.FY011	FY011	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LS099	LS099	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AE043	AE043	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AQ037	AQ037	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS094	LS094	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT005	LT005	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LS090	LS090	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT012	LT012	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LS098	LS098	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AQ038	AQ038	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LS091	LS091	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS085	LS085	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LS095	LS095	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LS097	LS097	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LS092	LS092	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AB084	AB084	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LS081	LS081	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AE056	AE056	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS084	LS084	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AE057	AE057	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AB083	AB083	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS088	LS088	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT013	LT013	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS096	LS096	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AB083	AB083	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AE041	AE041	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT002	LT002	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AE044	AE044	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AB069	AB069	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.FY020	FY020	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT019	LT019	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AE055	AE055	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AB085	AB085	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.AE051	AE051	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LT017	LT017	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LS088	LS088	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AB069	AB069	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LS091	LS091	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.FY017	FY017	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.FY017	FY017	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LT016	LT016	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AE058	AE058	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LS085	LS085	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LT011	LT011	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.FY014	FY014	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AE051	AE051	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT003	LT003	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AQ033	AQ033	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.FY014	FY014	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AQ037	AQ037	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT006	LT006	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LS086	LS086	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LS082	LS082	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LT019	LT019	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LT007	LT007	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LT004	LT004	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AE047	AE047	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AQ035	AQ035	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LT017	LT017	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LT015	LT015	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AE057	AE057	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AQ034	AQ034	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AE050	AE050	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LT016	LT016	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AQ039	AQ039	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.LS087	LS087	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AE056	AE056	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LS083	LS083	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.FY016	FY016	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.FY011	FY011	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.FY015	FY015	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AQ033	AQ033	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.LS099	LS099	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.LS089	LS089	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
SH.LS084	LS084	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AQ040	AQ040	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
SH.AE060	AE060	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	shoe
CP.AE048	AE048	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
CP.AB082	AB082	BASF	None	Mixed	11/2/2013	San Francisco	CA	1	phone
