	Age	City	Date	Event	Gender	Hand	Module	Run	Sample	Sport	State	Study	Surface	Time	Touches	Type	Wash
CPJ_266	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_273	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_287	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_294	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_308	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_322	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_329	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_336	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_343	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_350	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_357	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_364	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_371	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_378	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_385	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
CPJ_392	Adult	Chicago	1/23/2015	Lab					SL<map object at 0x2ba0cbeaaef0>		IL	cpj	floor	<map object at 0x2ba0cbeaaf60>		floor	
