	Age	City	Date	Event	Gender	Hand	Module	Run	Sample	Sport	State	Study	Surface	Time	Touches	Type	Wash
CPR_SH.FR007	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR007		VA	cpr				shoe	
CPR_SH.FR003	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR003		VA	cpr				shoe	
CPR_SH.FR001	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR001		VA	cpr				shoe	
CPR_SH.FR016	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR016		VA	cpr				shoe	
CPR_SH.FR030	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR030		VA	cpr				shoe	
CPR_SH.FR008	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR008		VA	cpr				shoe	
CPR_SH.FR006	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR006		VA	cpr				shoe	
CPR_CP.FR004	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR004		VA	cpr				phone	
CPR_CP.FR014	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR014		VA	cpr				phone	
CPR_SH.FR028	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR028		VA	cpr				shoe	
CPR_CP.FR033	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR033		VA	cpr				phone	
CPR_SH.FR004	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR004		VA	cpr				shoe	
CPR_CP.FR026	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR026		VA	cpr				phone	
CPR_SH.FR013	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR013		VA	cpr				shoe	
CPR_SH.FR014	Mixed	Dulles	9/28/2013	NSFSTEM				4.0	FR014		VA	cpr				shoe	
CPR_SH.AK043	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK043	Baseball	PA	cpr				shoe	
CPR_CP.AG027	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG027	Baseball	PA	cpr				phone	
CPR_CP.AG049	Mixed	Philadelphia	4/25/2013	PhilliesGame				3.0	AG049	Baseball	PA	cpr				phone	
CPR_SH.AG039	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG039	Baseball	PA	cpr				shoe	
CPR_SH.AK066	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK066	Baseball	PA	cpr				shoe	
CPR_CP.AK056	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK056	Baseball	PA	cpr				phone	
CPR_CP.AG037	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG037	Baseball	PA	cpr				phone	
CPR_CP.AG041	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG041	Baseball	PA	cpr				phone	
CPR_CP.AG099	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG099	Baseball	PA	cpr				phone	
CPR_CP.AG035	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG035	Baseball	PA	cpr				phone	
CPR_SH.AK033	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK033	Baseball	PA	cpr				shoe	
CPR_CP.AK044	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK044	Baseball	PA	cpr				phone	
CPR_SH.AK044	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK044	Baseball	PA	cpr				shoe	
CPR_CP.AG051	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG051	Baseball	PA	cpr				phone	
CPR_SH.AG055	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG055	Baseball	PA	cpr				shoe	
CPR_CP.AG042	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG042	Baseball	PA	cpr				phone	
CPR_SH.AG051	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG051	Baseball	PA	cpr				shoe	
CPR_SH.AK038	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK038	Baseball	PA	cpr				shoe	
CPR_SH.AG052	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG052	Baseball	PA	cpr				shoe	
CPR_CP.AK046	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK046	Baseball	PA	cpr				phone	
CPR_CP.AK060	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK060	Baseball	PA	cpr				phone	
CPR_CP.AK068	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK068	Baseball	PA	cpr				phone	
CPR_SH.AK056	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK056	Baseball	PA	cpr				shoe	
CPR_SH.AK028	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK028	Baseball	PA	cpr				shoe	
CPR_SH.AK042	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK042	Baseball	PA	cpr				shoe	
CPR_SH.AG057	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG057	Baseball	PA	cpr				shoe	
CPR_CP.AG057	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG057	Baseball	PA	cpr				phone	
CPR_SH.AK080	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK080	Baseball	PA	cpr				shoe	
CPR_SH.AK036	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK036	Baseball	PA	cpr				shoe	
CPR_CP.AG058	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG058	Baseball	PA	cpr				phone	
CPR_SH.AG049	Mixed	Philadelphia	4/25/2013	PhilliesGame				3.0	AG049	Baseball	PA	cpr				shoe	
CPR_SH.AK079	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK079	Baseball	PA	cpr				shoe	
CPR_SH.AG031	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG031	Baseball	PA	cpr				shoe	
CPR_SH.AK061	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK061	Baseball	PA	cpr				shoe	
CPR_CP.AK072	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK072	Baseball	PA	cpr				phone	
CPR_SH.AG023	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG023	Baseball	PA	cpr				shoe	
CPR_CP.AK028	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK028	Baseball	PA	cpr				phone	
CPR_SH.AK027	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK027	Baseball	PA	cpr				shoe	
CPR_CP.AK033	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK033	Baseball	PA	cpr				phone	
CPR_SH.AK076	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK076	Baseball	PA	cpr				shoe	
CPR_SH.AG042	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG042	Baseball	PA	cpr				shoe	
CPR_CP.AG044	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG044	Baseball	PA	cpr				phone	
CPR_CP.AG031	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG031	Baseball	PA	cpr				phone	
CPR_SH.AG044	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG044	Baseball	PA	cpr				shoe	
CPR_SH.AG025	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG025	Baseball	PA	cpr				shoe	
CPR_CP.AG034	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG034	Baseball	PA	cpr				phone	
CPR_SH.AG058	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG058	Baseball	PA	cpr				shoe	
CPR_CP.AK074	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK074	Baseball	PA	cpr				phone	
CPR_SH.AG037	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG037	Baseball	PA	cpr				shoe	
CPR_CP.AG025	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG025	Baseball	PA	cpr				phone	
CPR_CP.AK061	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK061	Baseball	PA	cpr				phone	
CPR_SH.AG041	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG041	Baseball	PA	cpr				shoe	
CPR_SH.AG090	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG090	Baseball	PA	cpr				shoe	
CPR_CP.AK027	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK027	Baseball	PA	cpr				phone	
CPR_SH.AG053	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG053	Baseball	PA	cpr				shoe	
CPR_CP.AK048	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK048	Baseball	PA	cpr				phone	
CPR_CP.AG055	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG055	Baseball	PA	cpr				phone	
CPR_CP.AG052	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG052	Baseball	PA	cpr				phone	
CPR_SH.AK073	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK073	Baseball	PA	cpr				shoe	
CPR_SH.AK072	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK072	Baseball	PA	cpr				shoe	
CPR_SH.AG030	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG030	Baseball	PA	cpr				shoe	
CPR_SH.AG034	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG034	Baseball	PA	cpr				shoe	
CPR_CP.AK038	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK038	Baseball	PA	cpr				phone	
CPR_SH.AG048	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG048	Baseball	PA	cpr				shoe	
CPR_CP.AK073	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK073	Baseball	PA	cpr				phone	
CPR_CP.AK036	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK036	Baseball	PA	cpr				phone	
CPR_SH.AK060	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK060	Baseball	PA	cpr				shoe	
CPR_CP.AK080	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK080	Baseball	PA	cpr				phone	
CPR_CP.AG053	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG053	Baseball	PA	cpr				phone	
CPR_SH.AG027	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AG027	Baseball	PA	cpr				shoe	
CPR_SH.AK074	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK074	Baseball	PA	cpr				shoe	
CPR_SH.AK068	Mixed	Philadelphia	4/25/2013	PhilliesGame				2.0	AK068	Baseball	PA	cpr				shoe	
CPR_SH.FW008	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW008		PA	cpr				shoe	
CPR_CP.FW010	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW010		PA	cpr				phone	
CPR_SH.FW010	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW010		PA	cpr				shoe	
CPR_SH.FW014	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW014		PA	cpr				shoe	
CPR_CP.FW014	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW014		PA	cpr				phone	
CPR_SH.FW005	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW005		PA	cpr				shoe	
CPR_CP.FW005	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW005		PA	cpr				phone	
CPR_CP.FW006	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW006		PA	cpr				phone	
CPR_SH.FW002	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW002		PA	cpr				shoe	
CPR_SH.FW007	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW007		PA	cpr				shoe	
CPR_CP.FW008	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW008		PA	cpr				phone	
CPR_CP.FW002	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW002		PA	cpr				phone	
CPR_CP.FW007	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW007		PA	cpr				phone	
CPR_CP.FW003	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW003		PA	cpr				phone	
CPR_CP.FW009	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW009		PA	cpr				phone	
CPR_SH.FW006	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW006		PA	cpr				shoe	
CPR_SH.FW003	Adult	Philadelphia	6/4/2013	PhillyANS				2.0	FW003		PA	cpr				shoe	
CPR_CP.AM069	Mixed	Philadelphia	4/20/2013	PhillyScienceFest				2.0	AM069		PA	cpr				phone	
CPR_CP.AM061	Mixed	Philadelphia	4/20/2013	PhillyScienceFest				2.0	AM061		PA	cpr				phone	
CPR_CP.AM068	Mixed	Philadelphia	4/20/2013	PhillyScienceFest				2.0	AM068		PA	cpr				phone	
CPR_SH.AM013	Mixed	Philadelphia	4/20/2013	PhillyScienceFest				2.0	AM013		PA	cpr				shoe	
CPR_CP.AM013	Mixed	Philadelphia	4/20/2013	PhillyScienceFest				2.0	AM013		PA	cpr				phone	
CPR_CP.MH027	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH027		PA	cpr				phone	
CPR_SH.MH082	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH082		PA	cpr				shoe	
CPR_CP.FY098	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY098		PA	cpr				phone	
CPR_CP.FY095	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY095		PA	cpr				phone	
CPR_CP.MH056	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH056		PA	cpr				phone	
CPR_SH.FY083	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY083		PA	cpr				shoe	
CPR_CP.MH049	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH049		PA	cpr				phone	
CPR_CP.MH050	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH050		PA	cpr				phone	
CPR_SH.FS061	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	FS061		PA	cpr				shoe	
CPR_CP.MH100	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH100		PA	cpr				phone	
CPR_CP.MH059	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH059		PA	cpr				phone	
CPR_CP.MH016	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH016		PA	cpr				phone	
CPR_CP.FY084	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY084		PA	cpr				phone	
CPR_CP.MH030	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH030		PA	cpr				phone	
CPR_SH.MH014	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH014		PA	cpr				shoe	
CPR_CP.MH099	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH099		PA	cpr				phone	
CPR_CP.MH046	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH046		PA	cpr				phone	
CPR_SH.FY091	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY091		PA	cpr				shoe	
CPR_SH.MH024	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH024		PA	cpr				shoe	
CPR_CP.FX057	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX057		PA	cpr				phone	
CPR_CP.MH044	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH044		PA	cpr				phone	
CPR_SH.FY100	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY100		PA	cpr				shoe	
CPR_SH.MH013	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH013		PA	cpr				shoe	
CPR_SH.MH026	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH026		PA	cpr				shoe	
CPR_SH.MH006	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH006		PA	cpr				shoe	
CPR_SH.MH050	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH050		PA	cpr				shoe	
CPR_CP.MH051	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH051		PA	cpr				phone	
CPR_CP.MH026	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH026		PA	cpr				phone	
CPR_CP.FS061	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	FS061		PA	cpr				phone	
CPR_CP.MH055	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH055		PA	cpr				phone	
CPR_SH.MH069	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH069		PA	cpr				shoe	
CPR_CP.MH047	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH047		PA	cpr				phone	
CPR_SH.MH018	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH018		PA	cpr				shoe	
CPR_SH.FY087	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY087		PA	cpr				shoe	
CPR_CP.MH007	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH007		PA	cpr				phone	
CPR_SH.FY098	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY098		PA	cpr				shoe	
CPR_SH.MH004	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH004		PA	cpr				shoe	
CPR_SH.MH036	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH036		PA	cpr				shoe	
CPR_CP.MH033	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH033		PA	cpr				phone	
CPR_SH.MH033	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH033		PA	cpr				shoe	
CPR_CP.FS062	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	FS062		PA	cpr				phone	
CPR_CP.MH024	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH024		PA	cpr				phone	
CPR_CP.MH013	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH013		PA	cpr				phone	
CPR_SH.MH031	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH031		PA	cpr				shoe	
CPR_CP.FX044	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX044		PA	cpr				phone	
CPR_SH.FS065	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	FS065		PA	cpr				shoe	
CPR_SH.FX043	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX043		PA	cpr				shoe	
CPR_CP.FS064	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	FS064		PA	cpr				phone	
CPR_CP.MH009	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH009		PA	cpr				phone	
CPR_SH.FX051	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX051		PA	cpr				shoe	
CPR_CP.MH052	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH052		PA	cpr				phone	
CPR_CP.MH039	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH039		PA	cpr				phone	
CPR_CP.FX082	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX082		PA	cpr				phone	
CPR_CP.FY090	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY090		PA	cpr				phone	
CPR_SH.FX082	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX082		PA	cpr				shoe	
CPR_CP.MH043	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH043		PA	cpr				phone	
CPR_CP.MH017	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH017		PA	cpr				phone	
CPR_SH.MH066	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH066		PA	cpr				shoe	
CPR_SH.FX056	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX056		PA	cpr				shoe	
CPR_CP.MH002	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH002		PA	cpr				phone	
CPR_SH.MH021	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH021		PA	cpr				shoe	
CPR_CP.FZ015	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FZ015		PA	cpr				phone	
CPR_CP.MH005	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH005		PA	cpr				phone	
CPR_SH.FY081	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY081		PA	cpr				shoe	
CPR_SH.MH027	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH027		PA	cpr				shoe	
CPR_CP.MH042	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH042		PA	cpr				phone	
CPR_CP.MH008	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH008		PA	cpr				phone	
CPR_CP.MH004	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH004		PA	cpr				phone	
CPR_CP.MH058	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH058		PA	cpr				phone	
CPR_CP.FS063	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	FS063		PA	cpr				phone	
CPR_SH.FY092	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY092		PA	cpr				shoe	
CPR_CP.MH028	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH028		PA	cpr				phone	
CPR_CP.MH037	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH037		PA	cpr				phone	
CPR_CP.MH038	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH038		PA	cpr				phone	
CPR_CP.MH012	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH012		PA	cpr				phone	
CPR_CP.MH082	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH082		PA	cpr				phone	
CPR_SH.FY090	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY090		PA	cpr				shoe	
CPR_SH.MH059	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH059		PA	cpr				shoe	
CPR_CP.FX056	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX056		PA	cpr				phone	
CPR_CP.FX043	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX043		PA	cpr				phone	
CPR_CP.FY091	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY091		PA	cpr				phone	
CPR_SH.MH009	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH009		PA	cpr				shoe	
CPR_CP.MH085	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH085		PA	cpr				phone	
CPR_SH.MH003	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH003		PA	cpr				shoe	
CPR_CP.MH062	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH062		PA	cpr				phone	
CPR_SH.MH032	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH032		PA	cpr				shoe	
CPR_CP.MH021	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH021		PA	cpr				phone	
CPR_SH.MH064	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH064		PA	cpr				shoe	
CPR_SH.MH016	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH016		PA	cpr				shoe	
CPR_CP.MH035	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH035		PA	cpr				phone	
CPR_SH.MH007	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH007		PA	cpr				shoe	
CPR_CP.MH029	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH029		PA	cpr				phone	
CPR_SH.FX049	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX049		PA	cpr				shoe	
CPR_CP.MH066	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH066		PA	cpr				phone	
CPR_CP.MH022	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH022		PA	cpr				phone	
CPR_CP.MH064	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH064		PA	cpr				phone	
CPR_SH.FY094	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY094		PA	cpr				shoe	
CPR_CP.FY094	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY094		PA	cpr				phone	
CPR_CP.MH060	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH060		PA	cpr				phone	
CPR_SH.MH099	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH099		PA	cpr				shoe	
CPR_CP.MH003	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH003		PA	cpr				phone	
CPR_SH.MH084	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH084		PA	cpr				shoe	
CPR_SH.MH022	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH022		PA	cpr				shoe	
CPR_SH.MH029	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH029		PA	cpr				shoe	
CPR_SH.FS064	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	FS064		PA	cpr				shoe	
CPR_CP.MH014	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH014		PA	cpr				phone	
CPR_SH.MH015	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH015		PA	cpr				shoe	
CPR_SH.MH023	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH023		PA	cpr				shoe	
CPR_CP.MH068	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH068		PA	cpr				phone	
CPR_CP.MH063	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH063		PA	cpr				phone	
CPR_CP.FX055	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX055		PA	cpr				phone	
CPR_CP.MH053	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH053		PA	cpr				phone	
CPR_CP.MH069	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH069		PA	cpr				phone	
CPR_CP.FY092	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY092		PA	cpr				phone	
CPR_CP.FY088	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY088		PA	cpr				phone	
CPR_CP.FZ001	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FZ001		PA	cpr				phone	
CPR_CP.FY100	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY100		PA	cpr				phone	
CPR_CP.MH081	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH081		PA	cpr				phone	
CPR_CP.MH023	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH023		PA	cpr				phone	
CPR_CP.MH001	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH001		PA	cpr				phone	
CPR_SH.FZ001	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FZ001		PA	cpr				shoe	
CPR_SH.MH034	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH034		PA	cpr				shoe	
CPR_CP.FY096	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY096		PA	cpr				phone	
CPR_SH.MH008	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH008		PA	cpr				shoe	
CPR_CP.FX051	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FX051		PA	cpr				phone	
CPR_SH.MH002	Mixed	Philadelphia	5/3/2014	PhillySciFest				3.0	MH002		PA	cpr				shoe	
CPR_CP.MH061	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	MH061		PA	cpr				phone	
CPR_SH.FY086	Mixed	Philadelphia	5/3/2014	PhillySciFest				4.0	FY086		PA	cpr				shoe	
